Hanzi,Meaning,Reading,Color,Mean Word,Sound,Simplified,Traditional,Also Written,Ruby,Silhouette,
世界观,worldview<br>outlook,"""<span class=""""tone4"""">shì</span><span class=""""tone4"""">jiè</span> <span class=""""tone1"""">guān</span> <!-- shi jie guan -->""","""<span class=""""tone4"""">世</span><span class=""""tone4"""">界</span><span class=""""tone1"""">观</span>""",,,,,,"""<span class=""""tone4""""><ruby>世<rt>shì</rt></ruby></span><span class=""""tone4""""><ruby>界<rt>jiè</rt></ruby></span><span class=""""tone1""""><ruby>观<rt>guān</rt></ruby></span>""",_ _ _,
价值观,system of values,"""<span class=""""tone4"""">jià</span><span class=""""tone2"""">zhí</span> <span class=""""tone1"""">guān</span> <!-- jia zhi guan -->""","""<span class=""""tone4"""">价</span><span class=""""tone2"""">值</span><span class=""""tone1"""">观</span>""",,[sound:价值观_google_zh-CN.mp3],,價值觀,,"""<span class=""""tone4""""><ruby>价<rt>jià</rt></ruby></span><span class=""""tone2""""><ruby>值<rt>zhí</rt></ruby></span><span class=""""tone1""""><ruby>观<rt>guān</rt></ruby></span>""",_ _ _,
信任感,sense of trust,"""<span class=""""tone4"""">xìn</span><span class=""""tone4"""">rèn</span> <span class=""""tone3"""">gǎn</span> <!-- xin reng an -->""","""<span class=""""tone4"""">信</span><span class=""""tone4"""">任</span><span class=""""tone3"""">感</span>""",,[sound:信任感_google_zh-CN.mp3],,共識,,"""<span class=""""tone4""""><ruby>信<rt>xìn</rt></ruby></span><span class=""""tone4""""><ruby>任<rt>rèn</rt></ruby></span><span class=""""tone3""""><ruby>感<rt>gǎn</rt></ruby></span>""",_ _ _,
人性,human nature<br>humanity,"""<span class=""""tone2"""">rén</span><span class=""""tone4"""">xìng</span> <!-- ren xing -->""","""<span class=""""tone2"""">人</span><span class=""""tone4"""">性</span>""",,[sound:人性_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>人<rt>rén</rt></ruby></span><span class=""""tone4""""><ruby>性<rt>xìng</rt></ruby></span>""",_ _,
理想化,to idealize,"""<span class=""""tone3"""">lǐ</span><span class=""""tone3"""">xiǎng</span> <span class=""""tone4"""">huà</span> <!-- li xiang hua -->""","""<span class=""""tone3"""">理</span><span class=""""tone3"""">想</span><span class=""""tone4"""">化</span>""",,[sound:理想化_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>理<rt>lǐ</rt></ruby></span><span class=""""tone3""""><ruby>想<rt>xiǎng</rt></ruby></span><span class=""""tone4""""><ruby>化<rt>huà</rt></ruby></span>""",_ _ _,
毁掉,to destroy,"""<span class=""""tone3"""">huǐ</span><span class=""""tone4"""">diào</span> <!-- hui diao -->""","""<span class=""""tone3"""">毁</span><span class=""""tone4"""">掉</span>""",,[sound:毁掉_google_zh-CN.mp3],,毀掉,,"""<span class=""""tone3""""><ruby>毁<rt>huǐ</rt></ruby></span><span class=""""tone4""""><ruby>掉<rt>diào</rt></ruby></span>""",_ _,
磨合,to break (smth) in,"""<span class=""""tone2"""">mó</span><span class=""""tone2"""">hé</span> <!-- mo he -->""","""<span class=""""tone2"""">磨</span><span class=""""tone2"""">合</span>""",,[sound:磨合_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>磨<rt>mó</rt></ruby></span><span class=""""tone2""""><ruby>合<rt>hé</rt></ruby></span>""",_ _,
代数,algebra,"""<span class=""""tone4"""">dài</span><span class=""""tone4"""">shù</span> <!-- dai shu -->""","""<span class=""""tone4"""">代</span><span class=""""tone4"""">数</span>""",,[sound:代数_google_zh-CN.mp3],,代數,,"""<span class=""""tone4""""><ruby>代<rt>dài</rt></ruby></span><span class=""""tone4""""><ruby>数<rt>shù</rt></ruby></span>""",_ _,
发布,"to post (on social media, etc.)","""<span class=""""tone1"""">fā</span><span class=""""tone4"""">bù</span> <!-- fa bu -->""","""<span class=""""tone1"""">发</span><span class=""""tone4"""">布</span>""",,[sound:发布_google_zh-CN.mp3],,發佈,"""<span class=""""tone1""""><ruby>發<rt>fā</rt></ruby></span><span class=""""tone4""""><ruby>布<rt>bù</rt></ruby></span>|<span class=""""tone1"""">发</span><span class=""""tone4"""">布</span>""","""<span class=""""tone1""""><ruby>发<rt>fā</rt></ruby></span><span class=""""tone4""""><ruby>布<rt>bù</rt></ruby></span>""",_ _,
里程碑,milestone,"""<span class=""""tone3"""">lǐ</span><span class=""""tone2"""">chéng</span><span class=""""tone1"""">bēi</span> <!-- li cheng bei -->""","""<span class=""""tone3"""">里</span><span class=""""tone2"""">程</span><span class=""""tone1"""">碑</span>""",,[sound:里程碑_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>里<rt>lǐ</rt></ruby></span><span class=""""tone2""""><ruby>程<rt>chéng</rt></ruby></span><span class=""""tone1""""><ruby>碑<rt>bēi</rt></ruby></span>""",_ _ _,
狂魔,"madman, maniac","""<span class=""""tone2"""">kuáng</span><span class=""""tone2"""">mó</span> <!-- kuang mo -->""","""<span class=""""tone2"""">狂</span><span class=""""tone2"""">魔</span>""",,[sound:狂魔_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>狂<rt>kuáng</rt></ruby></span><span class=""""tone2""""><ruby>魔<rt>mó</rt></ruby></span>""",_ _,
登录,to log in (to a website)<br>to register,"""<span class=""""tone1"""">dēng</span><span class=""""tone4"""">lù</span> <!-- deng lu -->""","""<span class=""""tone1"""">登</span><span class=""""tone4"""">录</span>""",,[sound:登录_google_zh-CN.mp3],,登錄,,"""<span class=""""tone1""""><ruby>登<rt>dēng</rt></ruby></span><span class=""""tone4""""><ruby>录<rt>lù</rt></ruby></span>""",_ _,
磁场,magnetic field,"""<span class=""""tone2"""">cí</span><span class=""""tone3"""">chǎng</span> <!-- ci chang -->""","""<span class=""""tone2"""">磁</span><span class=""""tone3"""">场</span>""",,[sound:磁场_google_zh-CN.mp3],,磁場,,"""<span class=""""tone2""""><ruby>磁<rt>cí</rt></ruby></span><span class=""""tone3""""><ruby>场<rt>chǎng</rt></ruby></span>""",_ _,
电场,electric field,"""<span class=""""tone4"""">diàn</span><span class=""""tone3"""">chǎng</span> <!-- dian chang -->""","""<span class=""""tone4"""">电</span><span class=""""tone3"""">场</span>""",,[sound:电场_google_zh-CN.mp3],,電場,,"""<span class=""""tone4""""><ruby>电<rt>diàn</rt></ruby></span><span class=""""tone3""""><ruby>场<rt>chǎng</rt></ruby></span>""",_ _,
电磁场,electromagnetic field,"""<span class=""""tone4"""">diàn</span><span class=""""tone2"""">cí</span><span class=""""tone3"""">chǎng</span> <!-- dian ci chang -->""","""<span class=""""tone4"""">电</span><span class=""""tone2"""">磁</span><span class=""""tone3"""">场</span>""",,[sound:电磁场_google_zh-CN.mp3],,電磁場,,"""<span class=""""tone4""""><ruby>电<rt>diàn</rt></ruby></span><span class=""""tone2""""><ruby>磁<rt>cí</rt></ruby></span><span class=""""tone3""""><ruby>场<rt>chǎng</rt></ruby></span>""",_ _ _,
声波,sound wave (w/ sh),"""<span class=""""tone1"""">shēng</span><span class=""""tone1"""">bō</span> <!-- sheng bo -->""","""<span class=""""tone1"""">声</span><span class=""""tone1"""">波</span>""",,[sound:声波_google_zh-CN.mp3],,聲波,,"""<span class=""""tone1""""><ruby>声<rt>shēng</rt></ruby></span><span class=""""tone1""""><ruby>波<rt>bō</rt></ruby></span>""",_ _,
疲惫,"exhausted, beaten, tired","""<span class=""""tone2"""">pí</span><span class=""""tone4"""">bèi</span> <!-- pi bei -->""","""<span class=""""tone2"""">疲</span><span class=""""tone4"""">惫</span>""",,[sound:疲惫_google_zh-CN.mp3],,疲憊,,"""<span class=""""tone2""""><ruby>疲<rt>pí</rt></ruby></span><span class=""""tone4""""><ruby>惫<rt>bèi</rt></ruby></span>""",_ _,
暂停,to pause<br>a pause<br>a time out (in sports),"""<span class=""""tone4"""">zàn</span><span class=""""tone2"""">tíng</span> <!-- zan ting -->""","""<span class=""""tone4"""">暂</span><span class=""""tone2"""">停</span>""",,[sound:暂停_google_zh-CN.mp3],,暫停,,"""<span class=""""tone4""""><ruby>暂<rt>zàn</rt></ruby></span><span class=""""tone2""""><ruby>停<rt>tíng</rt></ruby></span>""",_ _,
多任务,multi-tasking,"""<span class=""""tone1"""">duō</span><span class=""""tone4"""">rèn</span><span class=""""tone4"""">wù</span> <!-- duo ren wu -->""","""<span class=""""tone1"""">多</span><span class=""""tone4"""">任</span><span class=""""tone4"""">务</span>""",,[sound:多任务_google_zh-CN.mp3],,多任務,,"""<span class=""""tone1""""><ruby>多<rt>duō</rt></ruby></span><span class=""""tone4""""><ruby>任<rt>rèn</rt></ruby></span><span class=""""tone4""""><ruby>务<rt>wù</rt></ruby></span>""",_ _ _,
吹散,to blow away (to disperse),"""<span class=""""tone1"""">chuī</span><span class=""""tone4"""">sàn</span> <!-- chui san -->""","""<span class=""""tone1"""">吹</span><span class=""""tone4"""">散</span>""",,[sound:吹散_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>吹<rt>chuī</rt></ruby></span><span class=""""tone4""""><ruby>散<rt>sàn</rt></ruby></span>""",_ _,
引力,gravitation (w/ y)<br>gravitational,"""<span class=""""tone3"""">yǐn</span><span class=""""tone4"""">lì</span> <!-- yin li -->""","""<span class=""""tone3"""">引</span><span class=""""tone4"""">力</span>""",,[sound:引力_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>引<rt>yǐn</rt></ruby></span><span class=""""tone4""""><ruby>力<rt>lì</rt></ruby></span>""",_ _,
大气,"atmosphere (as in, the air)","""<span class=""""tone4"""">dà</span><span class=""""tone4"""">qì</span> <!-- da qi -->""","""<span class=""""tone4"""">大</span><span class=""""tone4"""">气</span>""",,[sound:大气_google_zh-CN.mp3],,大氣,,"""<span class=""""tone4""""><ruby>大<rt>dà</rt></ruby></span><span class=""""tone4""""><ruby>气<rt>qì</rt></ruby></span>""",_ _,
灾难,disaster<br>catastrophe,"""<span class=""""tone1"""">zāi</span><span class=""""tone4"""">nàn</span> <!-- zai nan -->""","""<span class=""""tone1"""">灾</span><span class=""""tone4"""">难</span>""",,[sound:灾难_google_zh-CN.mp3],,災難,,"""<span class=""""tone1""""><ruby>灾<rt>zāi</rt></ruby></span><span class=""""tone4""""><ruby>难<rt>nàn</rt></ruby></span>""",_ _,
时间机器,time machine,"""<span class=""""tone2"""">shí</span><span class=""""tone1"""">jiān</span><span class=""""tone1"""">jī</span><span class=""""tone4"""">qì</span> <!-- shi jian ji qi -->""","""<span class=""""tone2"""">时</span><span class=""""tone1"""">间</span><span class=""""tone1"""">机</span><span class=""""tone4"""">器</span>""",,[sound:时间机器_google_zh-CN.mp3],,時間機器,,"""<span class=""""tone2""""><ruby>时<rt>shí</rt></ruby></span><span class=""""tone1""""><ruby>间<rt>jiān</rt></ruby></span><span class=""""tone1""""><ruby>机<rt>jī</rt></ruby></span><span class=""""tone4""""><ruby>器<rt>qì</rt></ruby></span>""",_ _ _ _,
生机,vitality (not 活力)<br>life force,"""<span class=""""tone1"""">shēng</span><span class=""""tone1"""">jī</span> <!-- sheng ji -->""","""<span class=""""tone1"""">生</span><span class=""""tone1"""">机</span>""",,[sound:生机_google_zh-CN.mp3],,生機,,"""<span class=""""tone1""""><ruby>生<rt>shēng</rt></ruby></span><span class=""""tone1""""><ruby>机<rt>jī</rt></ruby></span>""",_ _,
发展中国家,developing country,"""<span class=""""tone1"""">fā</span><span class=""""tone3"""">zhǎn</span><span class=""""tone1"""">zhōng</span> <span class=""""tone2"""">guó</span><span class=""""tone1"""">jiā</span> <!-- fa zhan zhong guo jia -->""","""<span class=""""tone1"""">发</span><span class=""""tone3"""">展</span><span class=""""tone1"""">中</span><span class=""""tone2"""">国</span><span class=""""tone1"""">家</span>""",,[sound:发展中国家_google_zh-CN.mp3],,發展中國家,,"""<span class=""""tone1""""><ruby>发<rt>fā</rt></ruby></span><span class=""""tone3""""><ruby>展<rt>zhǎn</rt></ruby></span><span class=""""tone1""""><ruby>中<rt>zhōng</rt></ruby></span><span class=""""tone2""""><ruby>国<rt>guó</rt></ruby></span><span class=""""tone1""""><ruby>家<rt>jiā</rt></ruby></span>""",_ _ _ _ _,
保温杯,a thermos (for keeping liquids warm/cold),bǎowēn bēi,保温杯,,,,,,,,
应对,response (w/ y)<br>to reply,"""<span class=""""tone4"""">yìng</span><span class=""""tone4"""">duì</span> <!-- ying dui -->""","""<span class=""""tone4"""">应</span><span class=""""tone4"""">对</span>""",,[sound:应对_google_zh-CN.mp3],,應對,,"""<span class=""""tone4""""><ruby>应<rt>yìng</rt></ruby></span><span class=""""tone4""""><ruby>对<rt>duì</rt></ruby></span>""",_ _,
露面,"""to show one's face<br>to appear (in public)""","""<span class=""""tone4"""">lòu</span><span class=""""tone4"""">miàn</span> <!-- lou mian -->""","""<span class=""""tone4"""">露</span><span class=""""tone4"""">面</span>""",,[sound:露面_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>露<rt>lòu</rt></ruby></span><span class=""""tone4""""><ruby>面<rt>miàn</rt></ruby></span>""",_ _,
银河,the Milky Way,yínhé,银河,,,,,,,,
按,to press (a button),àn,按,,,,,,,,
请按1,please press 1,qǐng àn yao1,请按1,,,,,,,,
难以相信,difficult to believe<br>unbelievable,nányǐ xiāngxìn,难以相信,,,,,,,,
甜甜圈,donut,tián tián quān,甜甜圈,,,,,,,,
用铜修建的,built of copper,yòng tóng xiūjiàn de,用铜修建的,,,,,,,,
她比我还大,"""she's even bigger than me""",tā bǐ wǒ hái dà,她比我还大,,,,,,,,
卷,to roll up<br>a roll<br>measure word for small rolled things,"""<span class=""""tone3"""">juǎn</span> <!-- juan -->""","""<span class=""""tone3"""">卷</span>""",,[sound:卷_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>卷<rt>juǎn</rt></ruby></span>""",_,
恐怖分子,terrorist,"""<span class=""""tone3"""">kǒng</span><span class=""""tone4"""">bù</span> <span class=""""tone4"""">fèn</span><span class=""""tone3"""">zǐ</span> <!-- kong bu fen zi -->""","""<span class=""""tone3"""">恐</span><span class=""""tone4"""">怖</span><span class=""""tone4"""">分</span><span class=""""tone3"""">子</span>""",,[sound:恐怖分子_google_zh-CN.mp3],,,,"""<span class=""""tone3""""><ruby>恐<rt>kǒng</rt></ruby></span><span class=""""tone4""""><ruby>怖<rt>bù</rt></ruby></span><span class=""""tone4""""><ruby>分<rt>fèn</rt></ruby></span><span class=""""tone3""""><ruby>子<rt>zǐ</rt></ruby></span>""",_ _ _ _,
携带,"""to carry on one's person (w/ x)""","""<span class=""""tone2"""">xié</span><span class=""""tone4"""">dài</span> <!-- xie dai -->""","""<span class=""""tone2"""">携</span><span class=""""tone4"""">带</span>""",,[sound:携带_google_zh-CN.mp3],,攜帶,,"""<span class=""""tone2""""><ruby>携<rt>xié</rt></ruby></span><span class=""""tone4""""><ruby>带<rt>dài</rt></ruby></span>""",_ _,
炸弹,bomb,"""<span class=""""tone4"""">zhà</span><span class=""""tone4"""">dàn</span> <!-- zha dan -->""","""<span class=""""tone4"""">炸</span><span class=""""tone4"""">弹</span>""",,[sound:炸弹_google_zh-CN.mp3],,炸彈,,"""<span class=""""tone4""""><ruby>炸<rt>zhà</rt></ruby></span><span class=""""tone4""""><ruby>弹<rt>dàn</rt></ruby></span>""",_ _,
一般,ordinary<br>so-so<br>common,"""<span class=""""tone1"""">yī</span><span class=""""tone1"""">bān</span> <!-- yi ban -->""","""<span class=""""tone1"""">一</span><span class=""""tone1"""">般</span>""",,[sound:一般_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>一<rt>yī</rt></ruby></span><span class=""""tone1""""><ruby>般<rt>bān</rt></ruby></span>""",一_,
惊奇,to be amazed (w/ j)<br>to wonder<br>to be suprised,"""<span class=""""tone1"""">jīng</span><span class=""""tone2"""">qí</span> <!-- jing qi -->""","""<span class=""""tone1"""">惊</span><span class=""""tone2"""">奇</span>""",,[sound:惊奇_google_zh-CN.mp3],,驚奇,,"""<span class=""""tone1""""><ruby>惊<rt>jīng</rt></ruby></span><span class=""""tone2""""><ruby>奇<rt>qí</rt></ruby></span>""",_ _,
短路,to short circuit,duǎnlù,短路,,,,,,,,
筋,tendons or veins under the skin,"""<span class=""""tone1"""">jīn</span> <!-- jin -->""","""<span class=""""tone1"""">筋</span>""",,[sound:筋_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>筋<rt>jīn</rt></ruby></span>""",_,
过时,out of date (w/ g)<br>old-fashioned<br>to be late,guòshí,过时,,,,,,,,
图案,"design, pattern (w/ t)","""tú'àn""",图案,,,,,,,,
花盆,flower pot,huāpén,花盆,,,,,,,,
盆,"basin, pot",pén,盆,,,,,,,,
隱形,invisible,yǐnxíng,隱形,,,,,,,,
企鹅,penguin,"""qǐ'é""",企鹅,,,,,,,,
嵌入,to insert<br>to embed,"""<span class=""""tone4"""">qiàn</span><span class=""""tone4"""">rù</span> <!-- qian ru -->""","""<span class=""""tone4"""">嵌</span><span class=""""tone4"""">入</span>""",,[sound:嵌入_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>嵌<rt>qiàn</rt></ruby></span><span class=""""tone4""""><ruby>入<rt>rù</rt></ruby></span>""",_ _,
条纹,stripe,tiáowén,条纹,,,,,,,,
窗帘,curtains,"""<span class=""""tone1"""">chuāng</span><span class=""""tone2"""">lián</span> <!-- chuang lian -->""","""<span class=""""tone1"""">窗</span><span class=""""tone2"""">帘</span>""",,[sound:窗帘_google_zh-CN.mp3],,窗簾,,"""<span class=""""tone1""""><ruby>窗<rt>chuāng</rt></ruby></span><span class=""""tone2""""><ruby>帘<rt>lián</rt></ruby></span>""",_ _,
遮阳,"parasol, shade<br>something that shields from the sun<br>to shield from the sun","""<span class=""""tone1"""">zhē</span><span class=""""tone2"""">yáng</span> <!-- zhe yang -->""","""<span class=""""tone1"""">遮</span><span class=""""tone2"""">阳</span>""",,[sound:遮阳_google_zh-CN.mp3],,遮陽,,"""<span class=""""tone1""""><ruby>遮<rt>zhē</rt></ruby></span><span class=""""tone2""""><ruby>阳<rt>yáng</rt></ruby></span>""",_ _,
窗台,window sill/ledge,"""<span class=""""tone1"""">chuāng</span><span class=""""tone2"""">tái</span> <!-- chuang tai -->""","""<span class=""""tone1"""">窗</span><span class=""""tone2"""">台</span>""",,[sound:窗台_google_zh-CN.mp3],,窗臺,,"""<span class=""""tone1""""><ruby>窗<rt>chuāng</rt></ruby></span><span class=""""tone2""""><ruby>台<rt>tái</rt></ruby></span>""",_ _,
边缘,edge<br>fringe<br>margin,"""<span class=""""tone1"""">biān</span><span class=""""tone2"""">yuán</span> <!-- bian yuan -->""","""<span class=""""tone1"""">边</span><span class=""""tone2"""">缘</span>""",,[sound:边缘_google_zh-CN.mp3],,邊緣,,"""<span class=""""tone1""""><ruby>边<rt>biān</rt></ruby></span><span class=""""tone2""""><ruby>缘<rt>yuán</rt></ruby></span>""",_ _,
海鸥,sea gull,"""<span class=""""tone3"""">hǎi</span><span class=""""tone1"""">ōu</span> <!-- hai ou -->""","""<span class=""""tone3"""">海</span><span class=""""tone1"""">鸥</span>""",,[sound:海鸥_google_zh-CN.mp3],,海鷗,,"""<span class=""""tone3""""><ruby>海<rt>hǎi</rt></ruby></span><span class=""""tone1""""><ruby>鸥<rt>ōu</rt></ruby></span>""",_ _,
树丛,bush<br>thicket/undergrowth,"""<span class=""""tone4"""">shù</span><span class=""""tone2"""">cóng</span> <!-- shu cong -->""","""<span class=""""tone4"""">树</span><span class=""""tone2"""">丛</span>""",,[sound:树丛_google_zh-CN.mp3],,樹叢,,"""<span class=""""tone4""""><ruby>树<rt>shù</rt></ruby></span><span class=""""tone2""""><ruby>丛<rt>cóng</rt></ruby></span>""",_ _,
藤,vines,"""<span class=""""tone2"""">téng</span> <!-- teng -->""","""<span class=""""tone2"""">藤</span>""",,[sound:藤_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>藤<rt>téng</rt></ruby></span>""",_,
脱衣舞,striptease,"""<span class=""""tone1"""">tuō</span><span class=""""tone1"""">yī</span> <span class=""""tone3"""">wǔ</span> <!-- tuo yi wu -->""","""<span class=""""tone1"""">脱</span><span class=""""tone1"""">衣</span><span class=""""tone3"""">舞</span>""",,[sound:脱衣舞_google_zh-CN.mp3],,脫衣舞,,"""<span class=""""tone1""""><ruby>脱<rt>tuō</rt></ruby></span><span class=""""tone1""""><ruby>衣<rt>yī</rt></ruby></span><span class=""""tone3""""><ruby>舞<rt>wǔ</rt></ruby></span>""",_ _ _,
瞳孔,pupil (of the eye),"""<span class=""""tone2"""">tóng</span><span class=""""tone3"""">kǒng</span> <!-- tong kong -->""","""<span class=""""tone2"""">瞳</span><span class=""""tone3"""">孔</span>""",,[sound:瞳孔_google_zh-CN.mp3],,,,"""<span class=""""tone2""""><ruby>瞳<rt>tóng</rt></ruby></span><span class=""""tone3""""><ruby>孔<rt>kǒng</rt></ruby></span>""",_ _,
色盲,color-blind<br>color blindness,"""<span class=""""tone4"""">sè</span><span class=""""tone2"""">máng</span> <!-- se mang -->""","""<span class=""""tone4"""">色</span><span class=""""tone2"""">盲</span>""",,[sound:色盲_google_zh-CN.mp3],,,,"""<span class=""""tone4""""><ruby>色<rt>sè</rt></ruby></span><span class=""""tone2""""><ruby>盲<rt>máng</rt></ruby></span>""",_ _,
烟囱,chimeny,yāncōng,烟囱,,,,,,,,
水母,jellyfish,shuǐmǔ,水母,,,,,,,,
门垫,doormat,méndiàn,门垫,,,,,,,,
海绵,sponge (both animal and tool),hǎimián,海绵,,,,,,,,
海马,sea horse,hǎimǎ,海马,,,,,,,,
任天堂,Nintendo,rèn tiāntáng,任天堂,,,,,,,,
靠中间,...toward the middle,kào zhōngjiān,靠中间,,,,,,,_ _ _,
脑子短路了,my brain shorted (out),nǎozi duǎnlùle,脑子短路了,,,,,,,,
上半部分,the top half<br>the first half,shàng bàn bùfèn,上半部分,,,,,,,,
下半部分,the second half<br>the bottom half,xià bàn bùfèn,下半部分,,,,,,,,
右上角,the top right corner,yòushàng jiǎo,右上角,,,,,,,,
左下角,bottom left corner,zuǒxià jiǎo,左下角,,,,,,,,
右下角,bottom right corner,yòu xiàjiǎo,右下角,,,,,,,,
左上角,top left corner,zuǒshàng jiǎo,左上角,,,,,,,,
围兜,bib,wéidōu,围兜,,,,,,,,
厚板,slab<br>plank,hòubǎn,厚板,,,,,,,,
下水道,sewer,xiàshuǐ dào,下水道,,,,,,,,
井盖,manhole cover,jǐnggài,井盖,,,,,,,,
锚,anchor,máo,锚,,,,,,,,
维也纳,Vienna,wéi yě nà,维也纳,,,,,,,,
俗套,"""cliche' (w/ s)""",sútào,俗套,,,,,,,,
灵魂伴侣,soul mate,línghún bànlǚ,灵魂伴侣,,,,,,,,
如果你非要这么说,If you say so...,rúguǒ nǐ fēi yào zhèmeshuō,如果你非要这么说,,,,,,,,
剧透,spoiler (media),jù tòu,剧透,,,,,,,,
向日葵,sunflower,xiàngrìkuí,向日葵,,,,,,,,
晴朗,sunny and clear,qínglǎng,晴朗,,,,,,,,
日出,sunrise,rìchū,日出,,,,,,,,
黄昏,dusk,huánghūn,黄昏,,,,,,,,
黎明,dawn (w/ l)<br>daybreak,límíng,黎明,,,,,,,,
一夜情,one night stand,yīyè qíng,一夜情,,,,,,,,
最后,finally (short period of time)<br>final,zuìhòu,最后,,,,,,,,
刮伤,scrape/scratch (wound),guāshāng,刮伤,,,,,,,,
顺着,along (w/ sh)<br>following,shùnzhe,顺着,,,,,,,,
逆着,contrary<br>against (direction),nìzhe,逆着,,,,,,,,
抹,to wipe<br>to smear,mǒ,抹,,,,,,,,
魔,devil/magic,mó,魔,,,,,,,_,
弄湿,to get wet<br>to dampen,nòngshī,弄湿,,,,,,,,
弯腰,to stoop<br>to bend over,wānyāo,弯腰,,,,,,,,
这是常事,It happens. (This is the norm),zhè shì chángshì,这是常事,,,,,,,,
血液循环,blood circulation,xuèyè xúnhuán,血液循环,,,,,,,,
浴室,bathroom (w/ y),yùshì,浴室,,,,,,,,
浴花,bath sponge (more common than 欲求),yù huā,浴花,,,,,,,,
吹风机,hair dryer,chuīfēngjī,吹风机,,,,,,,,
梳,to comb,shū,梳,,,,,,,,
逆着胡子长的方向刮,to shave against the grain,nìzhe húzi zhǎng de fāngxiàng guā,逆着胡子长的方向刮,,,,,,,,
顺着胡子长的方向刮,to shave with the grain,shùnzhe húzi zhǎng de fāngxiàng guā,顺着胡子长的方向刮,,,,,,,,
耶路撒冷,Jerusalem,Yē lù sā lěng,耶路撒冷,,,,,,,,
天使,angel,tiānshǐ,天使,,,,,,,,
希腊语,Greek (language),xīlà yǔ,希腊语,,,,,,,,
希腊,Greece,xīlà,希腊,,,,,,,,
定罪,to convict (of a crime),dìngzuì,定罪,,,,,,,,
权柄,authority (as in power),quánbǐng,权柄,,,,,,,,
明灯,beacon,míngdēng,明灯,,,,,,,,
安息日,the Sabbath,ānxī rì,安息日,,,,,,,,
摩西,Moses,móxī,摩西,,,,,,,,
差,to send (biblical)<br>to commission (a messenger/mission),chāi,差,,,,,,,,
复活,to resurrect<br>resurrection,fùhuó,复活,,,,,,,,
约瑟,Joseph,yuēsè,约瑟,,,,,,,,
争论,contention (w/ zh)<br>to contend<br>disputation<br>to debate,zhēnglùn,争论,,,,,,,,
西门,Simon,xīmén,西门,,,,,,,,
犹大,Judas,Yóudà,犹大,,,,,,,,
加略人犹大,Judas Iscariot,Jiā lüè rén Yóudà,加略人犹大,,,,,,,,
失落,to lose (something)<br>to feel a sense of loss<br>loss,shīluò,失落,,,,,,,,
丢弃,to discard (w/ d)<br>to abandon,diūqì,丢弃,,,,,,,,
吗哪,manna (bread from heaven),mǎnǎ,吗哪,,,,,,,,
永生,eternal life<br>immortality<br>to live forever,yǒngshēng,永生,,,,,,,,
拉比,Rabbi,lā bǐ,拉比,,,,,,,,
旷野,wilderness,kuàngyě,旷野,,,,,,,_ _,
先知,prophet,xiānzhī,先知,,,,,,,,
迦百农,Capernaum,jiā bǎi nóng,迦百农,,,,,,,,
安得烈,Andrew,ān dé liè,安得烈,,,,,,,,
彼得,Peter,bǐdé,彼得,,,,,,,,
腓力,Philip,féi lì,腓力,,,,,,,,
门徒,disciple,méntú,门徒,,,,,,,,
神迹,miracle (w/ sh),shénjì,神迹,,,,,,,,
加利利,Galilee,Jiā lì lì,加利利,,,,,,,,
逾越节,the Passover,yúyuè jié,逾越节,,,,,,,,
适应性,adaptability (not 灵活性),"""<span class=""""tone4"""">shì</span><span class=""""tone4"""">yìng</span><span class=""""tone4"""">xìng</span> <!-- shi ying xing -->""","""<span class=""""tone4"""">适</span><span class=""""tone4"""">应</span><span class=""""tone4"""">性</span>""",,[sound:适应性_google_zh-CN.mp3],,適應性,,"""<span class=""""tone4""""><ruby>适<rt>shì</rt></ruby></span><span class=""""tone4""""><ruby>应<rt>yìng</rt></ruby></span><span class=""""tone4""""><ruby>性<rt>xìng</rt></ruby></span>""",_ _ _,
陆军,the army<br>ground forces,lùjūn,陆军,,,,,,,,
夜生活,nightlife,yèshēnghuó,夜生活,,,,,,,,
平静,tranquil (w/ p)<br>serene,píngjìng,平静,,,,,,,,
短暂,of short duration (w/ d - adj.)<br>momentary<br>brief,duǎnzàn,短暂,,,,,,,_ _,
冒险家,adventurer,màoxiǎn jiā,冒险家,,,,,,,,
未知,unknown<br>the unknown,wèizhī,未知,,,,,,,,
西藏,Tibet,xīzàng,西藏,,,,,,,,
藏族,Tibetan,zàngzú,藏族,,,,,,,,
后备军,backup (people - army),hòubèijūn,后备军,,,,,,,,
毫不犹豫,without the slightest hesitation,háo bù yóuyù,毫不犹豫,,,,,,,_ _ _ _,
毫不,not in the least<br>not at all<br>hardly,háobù,毫不,,,,,,,,
