Hanzi,Meaning
来源,source (of information etc - w/ 来_) <br>origin <br>
足够,enough <br>sufficient <br>
自助餐,buffet (restaurant)<br>
首先。。。,first (of all) ...<br>in the first place ...<br>
版本,version&nbsp;<div>edition&nbsp;<br></div>
顾客,client (w/ g)<br>customer <br>
拿,to take <br>
寿司,sushi <br>
算,to regard as <br><div>to count as</div>
爆米花,popcorn <br>
知识,knowledge <br>
大约,approximately <br>probably <br>
泰国,Thailand <br>
可惜的是。。。,It's a shame that...<div>Unfortunately...</div>
大多数,(great) majority <br>
大多数中国人,the majority of Chinese people
踢出去,to kick out
概念,"concept (in physics, etc...)<br>"
盘,plate <br>
剩饭,<div>leftovers</div> leftover food <br>
突然,sudden (adj. + adv.)<br>suddenly<br>unexpected <br>
世纪,century <br>
17世纪,the 17th century
男士,gentleman <br>
女士,lady <br>madam<br>
他们都很担心她,They were worried about her.
等式,equation <br>
月亮,the moon <br>
落下,to fall (w/ l)<br>to drop <br>
现象,phenomenon <br>
繁多,many and varied <br>
法律,law<br>
律师,lawyer <br>
解释,explanation (w/ j)<br>to explain <br>
行星,planet <br>
环游,"to travel around (the world, a country etc) <br>"
赌场,casino <br>
拉斯维加斯,Las Vegas<br>
海鲜,seafood <br>
好像,to seem like <br><div>to look like</div>
赌博,to gamble <br>
打折,to give a discount <br>
土豆泥,mashed potato <br>
苹果派<br>,apple pie <br>
糟糕,terrible <br>bad <br>
培根,bacon<br>
碰到,to run into&nbsp;<div>to bump into</div><div>to come across <br></div>
走进去饭馆,to walk into the restaurant
走进去,to walk into
布丁,pudding<br>
流利,fluent <br>
有限,limited <br>
送,to give (as a present) <br>to present (with) <br>
例子,example <br>
听说,to hear (hearsay)<br>
强调,to emphasize (a statement) <br>to stress <br>
实际上,actually<div>in fact <br>as a matter of fact <br></div>
年纪,"age (w/&nbsp;<span class=""tone4""><font color=""#ffffff"">纪)</font></span><br>"
理解,to understand (w/ 理)<br>understanding <br>
恐龙,dinosaur <br>
分享,to share<br>
之前,previously <br>beforehand <br>
安徽省,Anhui<br>
免费,free (of charge) <br>
成立,"to establish (subject is a thing: country, organization, etc.)<br>"
奖学金,scholarship <br>
有几次,sometimes (w/ 次)
哪,which<br>
不管。。。，(sub)都,"no matter..., sub...."
昨晚,yesterday evening (short)<br>last night <br>
其实,actually... (w/ q)<br>
而已,that's all <br>nothing more <br>
任何,any <br>whatsoever <br>
对话,conversation (w/ d)<div>dialog <br></div>
工资,pay<div>wages</div>
愿意,to be willing (to do sth)<br>willing (to do sth) <br>
禁忌,taboo <br>
目的,purpose (_的)<br>goal <br>
粉丝,fan (enthusiast)
其他,other (w/ q)<br>
要是,if (w/ 要)<br>
照相机,camera <br>
不妨,there is no harm in <br>might as well <br>
优秀,outstanding <br>
残疾人,disabled person <br>
残疾,disabled <br>handicapped <br>
艺人,artist <br>
组织,to organize (as in to set up something)<br>
自信,self-confidence <br>
暴风雪,blizzard <br>
麻将,mahjong <br>
斗地主,"""Fight the Landlord"" (card game) <br>"
地主,landlord <br>landowner <br>
仍然,still (formal)<br>yet <br>
反对,to oppose <br>opposition <br>
继续,to continue <br>to proceed with <br>
坚持,to insist&nbsp;<br>
遍,classifier for actions: one time (w/ b)
录音,to record (sound) <br>sound recording <br>
屏幕,"screen (TV, computer or movie) <br>"
化妆,to put on makeup <br>
化妆品,makeup<div>cosmetics</div>
香水,perfume <br>cologne <br>
创意,creative <br>creativity <br>
正常,regular <br>normal <br>
敏感,sensitive <br>
提供,to offer <br>to provide <br>
满意,satisfied <br><div>to be satistied with...</div>
质量,quality <br>
西装,suit <br>Western-style clothes <br>
乐园,paradise<br><div>entertainment park</div>
主题,theme <br>
主题乐园,theme park
品牌,brand name (not 名牌)<br>trademark <br>
肥皂,soap <br>
三亚市,"Sanya prefecture level city, Hainan <br>"
终于,finally (long period of time - w/ zh...)
有名,famous (w/ y)<br>
明星,star <br>celebrity <br>
期待,to look forward to <br>to be excited to<br>
妹夫,younger sister's husband <br>
待,to stay (w/ d)<br>
我想待一夜,I would like to stay one night.
宿舍,dorm
阿里巴巴,Alibaba<br>
万,ten thousand <br>
亿,100 million <br>
浙江省,Zhejiang Province<br>
中西部,midwest <br>
西方,the west
东部,eastern part <br>
一个人,alone<br><div>by oneself&nbsp;<br></div>
儿童,child (w/ er)<br>
德语,German (language) <br>
奥巴马,Obama<br>
笨,stupid <br>
口音,accent <br>
纳粹,Nazi<br>
第二次世界大战,World War II (long)<br>
二战,World War II (short)<br>
第一次世界大战,World War One (long)<br>
一战,WWI (short)
明白,clear <br>obvious <br>to understand <br>to realize <br>
意外,unexpected (adj.)<br>
意外,accident (w/ y)<br>
兔子,hare <br>rabbit <br>
阻止,to prevent (w/ z)<br><div>to stop</div>
停止,to stop <br>
整,whole (w/ zh)<br>entire <br>
好玩,fun <br>
时区,time zone <br>
早一个小时,one hour earlier
灰心,to lose heart <br>to be discouraged <br>
进步,progress <br>improvement <br>to improve <br>to progress <br>
烦,to bother <br>to annoy<br>
批改,to correct <br>a correction (to a piece of writing) <br>
导游,tour guide <br>to conduct a tour <br>
击落,to shoot down (a plane) <br>
作战,to combat <br>
移民,to immigrate <br>immigrant <br>
地点,site<div>location <br>venue <br></div>
歼击机<br>,fighter plane <br>
空军,air force <br>
书架,bookshelf <br>
衣柜,wardrobe <br>armoire <br>
拿,to hold <br>
摆,to put (not fang)<div>to arrange <br>to exhibit <br></div>
笔,pen <br>pencil <br>writing brush <br>
毯子,blanket <br>
树,tree <br>
功课,homework (w/ g)<br>
钟头,hour (w/ zh)<br>
烘干机,"dryer (clothes, hand, etc.)<br>"
吵,to make a noise <br>noisy <br>
汤,soup <br>
真的,truly
搬出去,to move out<br>
搬进去,to move in
校外,off campus <br>
校内,on-campus <br>
冰球,ice hockey <br>puck <br>
冰刀,ice skates <br>ice skate blades <br>
厘米,centimeter <br>
高10厘米,10 cm tall
材料,material (w/ c)<br>
厚,thick (not 粗)
厚19厘米,19 cm thick
保护,to protect <br>protection <br>
陕西省,Shaanxi Province<br>
专家,expert <br>specialist <br>
新华网,Xinhua News Network <br>
河北省,Hebei Province<br>
马路,street <br>road <br>
大部分,the greater part <br>in large part
能否,whether or not one can...<br>
丸子,meatballs <br>
骗,to cheat <br>to swindle <br>
负责,to be in charge of <br><div>to take responsibilty for</div><div>responsible</div>
投资,investment <br>to invest <br>
吸引,"to attract (interest, investment etc) <br>"
广告,to advertise <br>advertisement <br>
调查,investigation (w/ d)<br>to investigate
毛绒玩具,stuffed animal
福建省,Fujian<br>
村子,village <br>
根,"classifier for long slender objects, e.g. cigarettes, guitar strings<br>"
恐怕,<div>to be afraid</div>I'm afraid that...<br>
柜子,cupboard <br>cabinet <br>
挂,to hang (from a hook etc) <br>
空,empty <br>
栋,classifier for houses or buildings <br>
文具,stationery <br>writting supplies
层,measure word for stories of a building
台,classifier for machines <br>
同屋,roommate (w/ t)<br>
不怎么样,not that great
家具,furniture <br>
理发师,barber <br>
剪刀,scissors <br>
剪,to cut (with scissors)<br>
拍照片,to take a picture (w/ p)
丢失,to lose (w/ d)<br>lost <br>
找回,to retrieve <br>
后来...,afterwards...<br>later...<br>
近年来,for the past few years <br>
人工,artificial <br>
人工智能,artificial intelligence (AI) <br>
杭州市,Hangzhou<br>
主播,anchor (TV) <br>
受到,to receive (受_)<br>
包括,to include <br>to consist of <br>
企业,company <br>firm <br>enterprise <br>corporation <br>
研究院,research institute <br>
院,courtyard <br>institution <br>
宜家,IKEA<br>
甚至,even (as in to emphasize)<br>
躺,to lie down&nbsp;<div>to recline <br></div>
负责人,person in charge <br>
责任,responsibility <br>duty <br>
带来,to bring <br>
民族,nationality <br>ethnic group <br>
少数民族,ethnic minority <br>
快递,express delivery <br>
提高,"to raise (w/ t - not as in to raise an animal, as in to...)<br>"
数量,amount <br>quantity <br>
力气,strength<br>
职业,occupation <br>profession &nbsp;<br>
没错,that's right (w/ m)<br>
正好,just right <br>it just so happens that <br><div>coincidentally</div>
特别是,especially
味道,flavor <br>
餐巾纸,paper napkin <br>
留学生,student studying abroad <br>(foreign) exchange student <br>
嫩,tender <br>
豆腐,tofu <br>
青菜,green vegetables (w/ q)<br>
新鲜,"fresh (experience, food etc) <br>freshness <br>"
小白菜,bok choy <br>
清淡,"light (of food, not greasy or strongly flavored)<br>"
咸,salty <br>
油,oil <br>
味精,monosodium glutamate (MSG) <br>
对了,"Oh, that's right, ... (when one suddenly remembers sth one wanted to mention) <br>Oh, by the way, ... <br>"
要饭,to beg (for food or money) <br>
口味,tastes (in food) <br>
上海市,Shanghai<br>
湖南省,Hunan<br>
寒假,winter vacation <br>
考虑,to think over <br>to consider <br>
主意,"idea (as in specific idea, not 想法)<br>"
背面,the BACK side<br>
真正,genuine&nbsp;<br>genuinely <br>
想到,to anticipate (w/ x)<br><div>to expect</div>
生日晚会,birthday party
大小,size <br>
长短,length <br>duration <br>
要不然,otherwise <br>
打针,to give or have an injection <br>
毕业,graduation <br>to graduate <br>
标准,(an official) standard <br>criterion <br>
宠物,house pet <br>
变色龙,chameleon <br>
酷,cool (loanword) <br>
牛仔裤,jeans <br>
爬行动物,reptile <br>
爬行,to crawl <br>to creep <br>
细菌,bacteria<br>germs<br>
说法,way of speaking <br>expression
即使,even if <br>
海报,poster <br>
起不来,can't get up (from bed)
挑战,to challenge <br>challenge <br>
困,"to trap, to surround"
adj.的要命,awfully (adj.)
40度以下,below 40 degrees
鞭炮,firecrackers <br>string of small firecrackers <br>
违法,illegal <br>
常温,room temperature <br>ordinary temperatures <br>
常温水,warm water
帽子,hat <br>
戴,"to wear (glasses, hat, gloves etc) <br>"
贴,to stick <br>to paste <br>to post (e.g. on a blog) <br>
地上,on the ground <br>on the floor <br>
飘,to float (in the air)<br><div>to wave to and fro</div>
集中,to concentrate <br>to focus <br>concentrated <br>
集中学习,to focus on studying<br>
口语,speaking (n.)<div>spoken language</div>
灯笼,lantern <br>
堆,to pile up <br>pile <br>heap <br>
房檐,eaves <br>
雪人,snowman <br>
微波炉,microwave oven <br>
烟花,fireworks <br>
冷藏,to refrigerate<div>refrigeration &nbsp;<br></div>
冷冻,to freeze (w/ l)<br>
厕所,toilet (w/ c)<br>
上厕所,to go to the toilet
卫生间,bathroom (w/ w)<br>
马桶,toilet (the device)
冲马桶,to flush the toilet
浴缸,bathtub <br>
淋浴头,shower head
花洒,shower head
水龙头,faucet<br>
堵,to stop up <br><div>to clog up</div>
马桶堵了,the toilet is stopped up<div>the toilet is clogged</div>
地漏堵了,the shower drain is clogged<div>the shower drain is stopped up</div>
地漏,drain (in ground)<br>
热水器,water heater <br>
浴霸,"bathroom infrared heater, marketed as ""bath master"" <br>"
自动,automatic <br>
全自动,fully automatic
泡澡,to bathe <br>to immerse oneself in a warm bath <br>
洗漱台,sink
洗发水,shampoo (liquid) <br>
护发素,hair conditioner <br>
沐浴露,body wash<br>
卫生纸,toilet paper <br>
浴球,bath sponge <br>
热情,enthusiasm<br>enthusiastic <br>
态度,attitude <br>
用户,user <br>
手机用户,cell phone user
出错,to make a mistake (small)<br>
演唱会,vocal recital or concert <br>
精彩,<div>marvelous</div><div>brilliant<br>splendid <br></div>
犯错(误),to make a mistake (big)<div>to err <br></div>
板擦,blackboard eraser <br>
擦子,eraser
喝醉,to get drunk <br>
醉,drunk<div>intoxicated <br></div>
吃饱,<div>to be full</div> to eat to one's full (res comp)<br>
名单,list (of names) <br>
降温,to become cooler <br>to lower the temperature <br>cooling <br>
成熟,mature <br>ripe <br>to mature <br>to ripen <br>
时髦,fashionable (of person)<br>
挤,to crowd in <br>to push/press <br>crowded
一路顺风,to have a pleasant journey (w/ shun) <br>
一路平安,to have a pleasant journey (w/ ping)<br>
平安,safe and sound <br>without mishap <br>
爬山,to climb a mountain <br>to hike<div>mountain climbing<br>hiking <br></div>
空姐,abbr. for 空中小姐 <br>female flight attendant <br>
空少,male flight attendant
乘务员,attendant on an train<br>
列车长,conductor <br>train manager <br>
船长,captain (of a boat) <br>skipper <br>
穿得厚,to dress heavily
穿得少,to dress light<div>to wear little</div>
冲澡,to take a shower <br>
牙膏,toothpaste <br>
电饭煲,rice cooker <br>
橱柜,kitchen cabinets<br>counter that can also be used as a table <br>
抽油烟机,kitchen exhaust hood <br>
切菜,to cut vegetables
切,"<span class=""tone1""><ruby></ruby></span> to cut <br>to slice <br>"
菜刀,kitchen knife <br>
菜板,cutting board <br>
40度以上,above 40 degrees
害羞,shy <br>embarrassed <br>
软件,(computer) software <br>
月光,moonlight <br>
阳光,sunshine <br>
陪,to accompany <br>to keep sb company <br>
童话,children's fairy tales <br>
好久不见,Long time no see <br>
你最近忙什么呢？,What have you been up to? (w/ 忙)&nbsp;
你真好!,You're so kind!<div>That's so kind of you!</div>
你太客气了,You're too polite.
我先谢谢你了,Thank you in advance.
怎么回事儿？,What's going on? (not the greeting - the expression of suprise)
石头,stone <br>
结构,structure (w/ j)<br>makeup <br>
地形,topography <br>terrain <br>landscape<br>
科技,science and technology <br>
发达,developed (country etc)&nbsp;<br>to develop (not 发展)<br>
古代,ancient times <br>olden times <br>
学者,scholar <br>
表面,surface &nbsp;<br>outside appearance <br>
采访,to interview (not the evaluation kind)<br>
三里屯,Sanlitun (Beijing street name) <br>
建筑,to construct (w/ j)<br>building (n.)<br>
导师,teacher (mentor)<br>academic advisor <br>
修建,to build (w/ x)<br>to construct <br>
秦朝,Qin Dynasty (221-207 BC) <br>
秦始皇,"Qin Shihuang (259-210 BC), the first emperor <br>"
明朝,Ming Dynasty (1368-1644) <br>
朝代,dynasty <br>
省份,province <br>
为了,in order to <br>
敌人,enemy <br>
连接,to link <br>to join <br>a link (on web page) <br>
室友,roommate (w/ 室)<br>
侵略,invasion <br>encroachment <br>
打车,to take a taxi (_车) <br>to hitch a ride<br>
高铁,highspeed rail <br>
公交车,public transport vehicle <br>
食堂,dining hall (w/ sh)<br>
道教,Daoism<br>
伊斯兰教,Islam <br>
基督教,Christianity<br>
佛教,Buddhism <br>
宗教,religion <br>
有意义,<div>meaningful <br>significant <br>worthwhile <br></div>
交税,to pay taxes
税,taxes <br>duties <br>
存钱,to deposit money <br>to save money <br>
关税,customs duty <br>tariff <br>
